"[0.06440640240907669, -0.04915090277791023, 0.005101637914776802, 0.06357502937316895, -0.09900470077991486, 0.28832218050956726, 1.1654082536697388, -0.01842104271054268, 0.05037521570920944, 0.31016817688941956, 0.10918847471475601, 1.0192320346832275, 0.12069906294345856, -1.5001847743988037, 0.0402657613158226, -0.2118150293827057, 0.07039280235767365, 0.4788913130760193, -0.047154441475868225, 0.06848210841417313, 0.309695839881897, 0.053901925683021545, -0.07341992855072021, -0.2723585367202759, 0.06173473596572876, 0.02396126464009285, -0.12299628555774689, -0.1846117526292801, -0.01182885468006134, 2.93422794342041]","[-2.3909213542938232, -0.02856546640396118, -0.09934613853693008, -0.5574319958686829, -1.7025394439697266, -0.23227715492248535, -5.524587631225586, -0.004134505987167358, 0.16305382549762726, -0.22264304757118225, -0.24673089385032654, -2.760141372680664, -0.40197885036468506, -2.831435203552246, 0.044601939618587494, -0.43087518215179443, 0.05956459790468216, -2.0665714740753174, -4.067655086517334, -0.17781755328178406, -0.5909174680709839, -0.28614330291748047, -5.2380290031433105, -0.5219448804855347, -0.2614757716655731, -0.33595216274261475, -0.21637536585330963, -0.534663200378418, 0.24359770119190216, -4.690371990203857]","[-0.1546628177165985, 0.1389845311641693, 0.17013195157051086, -0.9561996459960938, 0.06193120777606964, 0.34962472319602966, 1.0703977346420288, -1.027403473854065, -2.2401204109191895, 0.38523828983306885, 1.0273995399475098, 0.9051742553710938, -0.6993253827095032, -1.6455161571502686, -0.6262527704238892, -0.9328703880310059, -1.6894315481185913, -0.013497799634933472, 0.11814035475254059, 1.8052014112472534, 0.9186509847640991, -0.492156445980072, -0.12906458973884583, -0.4129147529602051, -0.49463385343551636, -1.3670722246170044, -0.37553441524505615, 0.3562949299812317, 0.7069216370582581, 2.9658524990081787]"
"[-0.5043693780899048, -0.0027405046857893467, 0.007324086502194405, 0.04066203534603119, -0.11462564766407013, 0.2764546275138855, 0.888487696647644, -0.024617884308099747, 0.04189559072256088, 0.30551207065582275, 0.06517136096954346, 0.9269614815711975, 0.1256963163614273, -1.1596581935882568, 0.01840236596763134, -0.22171704471111298, 0.08869805932044983, 0.4818485975265503, 0.41513699293136597, 0.06458389014005661, 0.3283649682998657, 0.024250522255897522, 0.7895441651344299, -0.2881551682949066, 0.0725279450416565, 0.014143597334623337, -0.1262071579694748, -0.16487331688404083, -0.05626098811626434, 3.005547523498535]","[-2.3544983863830566, -0.061167702078819275, -0.10487546771764755, -0.5379804968833923, -1.6747801303863525, -0.24995426833629608, -4.905401229858398, -0.00602954626083374, 0.14397354423999786, -0.24355432391166687, -0.2109490931034088, -2.557668685913086, -0.4035482406616211, -2.7746827602386475, 0.06586616486310959, -0.35148364305496216, 0.022117145359516144, -2.016117572784424, -4.039333820343018, -0.1718694567680359, -0.5650229454040527, -0.2897478938102722, -5.093107223510742, -0.5264600515365601, -0.23113974928855896, -0.32098978757858276, -0.16757625341415405, -0.5685102939605713, 0.23791547119617462, -4.513328552246094]","[-0.491476833820343, 0.0183430053293705, -2.327092170715332, 1.183198094367981, 0.18668098747730255, -0.012410372495651245, 0.939725399017334, -1.5537090301513672, 2.347773313522339, 1.2039070129394531, -0.14348535239696503, 0.3487734794616699, 0.18208007514476776, -1.2574083805084229, -1.3920412063598633, 0.4122505187988281, 1.3784666061401367, 0.1643279790878296, 0.48238372802734375, 0.8271188139915466, 0.1845281571149826, 1.8757765293121338, 0.8025941252708435, -0.7714627981185913, 0.9251126050949097, -0.0929325670003891, -1.7674670219421387, -0.7185932993888855, 0.21596066653728485, 3.130247116088867]"
"[0.3639593720436096, -0.1534152328968048, 0.06069180369377136, 0.1207013875246048, 0.48154890537261963, 0.2851455807685852, 1.2844960689544678, 0.04394189640879631, 0.18835115432739258, 0.35736751556396484, 0.13321453332901, 1.4676109552383423, 0.0482943169772625, 1.2739404439926147, 0.022372907027602196, -0.21963177621364594, 0.1299012154340744, 0.10456478595733643, 1.996502161026001, 0.09239305555820465, 0.2834746539592743, 0.059373244643211365, 2.47345232963562, -0.3494500517845154, 0.000333249568939209, 0.10376912355422974, -0.053736522793769836, -0.2698102593421936, -0.06918295472860336, 1.8255940675735474]","[-2.287965774536133, -0.040618643164634705, -0.12382412701845169, -0.5305872559547424, -2.2877917289733887, -0.2470821738243103, -6.702149391174316, -0.06811031699180603, 0.19251395761966705, -0.09922681748867035, -0.25159820914268494, -2.9263863563537598, -0.35607635974884033, -3.165508508682251, 0.06574033945798874, -0.383747398853302, 0.029547281563282013, -2.0056049823760986, -5.088552951812744, -0.15433946251869202, -0.451168030500412, -0.45437124371528625, -4.5906219482421875, -0.44948822259902954, -0.12181251496076584, -0.35773003101348877, -0.2286757528781891, -0.5756981372833252, 0.23022915422916412, -5.279512405395508]","[0.5905693173408508, -0.3370959162712097, -0.6581096649169922, -0.22351579368114471, 0.21935337781906128, 0.6626225113868713, 1.3176450729370117, 0.14931951463222504, -0.36965101957321167, -0.8907173871994019, 0.5108616352081299, 1.6087646484375, -0.5508608818054199, 1.5600545406341553, -1.1504045724868774, -0.09351003170013428, 0.31254279613494873, -0.5572344660758972, 2.107243776321411, -0.8370994329452515, 0.5108363032341003, -0.01219465583562851, 2.2566959857940674, -0.26841074228286743, 0.8407706618309021, 0.9750746488571167, 1.7689367532730103, -0.03123556077480316, -0.9249570965766907, 1.8728539943695068]"
"[0.8697146773338318, -0.06927147507667542, -0.004787681624293327, 0.017140759155154228, 0.2803588807582855, 0.3404279351234436, 3.5901124477386475, 0.04376218840479851, 0.1379101276397705, 0.30827659368515015, 0.13838645815849304, -0.1730688065290451, 0.1487535983324051, -0.41343921422958374, 0.054920755326747894, -0.2148316353559494, 0.08889247477054596, 0.6394238471984863, 1.509544849395752, 0.0664091631770134, 0.31253308057785034, 0.1031663566827774, 1.8124539852142334, -0.26903036236763, -0.028572916984558105, 0.01831946149468422, -0.10308437049388885, -0.27767086029052734, -0.013369273394346237, 1.3623778820037842]","[-2.1279561519622803, -0.13243399560451508, -0.054019756615161896, -0.4496150016784668, -1.7535920143127441, -0.13653172552585602, -5.793121337890625, -0.18589365482330322, 0.16890253126621246, -0.2773091197013855, -0.135981023311615, -2.588585138320923, -0.39746129512786865, -4.130621910095215, -0.08464796096086502, -0.46849125623703003, 0.017940513789653778, -1.9334774017333984, -5.590640544891357, -0.23614844679832458, -0.4909268319606781, -0.3371902108192444, -4.949553489685059, -0.3867837190628052, -0.11574798077344894, -0.4545042812824249, -0.13259556889533997, -0.6608240008354187, 0.36501067876815796, -5.448243618011475]","[0.684026837348938, -0.5818721055984497, 2.490464448928833, -0.610431432723999, 0.43286263942718506, 1.6308398246765137, 3.6056551933288574, -0.3225283920764923, 0.15901049971580505, -0.9783210158348083, -1.1495505571365356, 0.28906792402267456, 2.088165521621704, -0.39004045724868774, -1.1460458040237427, -0.028014197945594788, 0.14063532650470734, 0.5279194712638855, 1.5142027139663696, 1.5172011852264404, 0.9583900570869446, 0.5914028286933899, 1.9527931213378906, -1.3140239715576172, 1.6701326370239258, -0.5096674561500549, -0.2998829782009125, -0.9159760475158691, -0.7381988167762756, 1.3993929624557495]"
"[0.18030425906181335, -0.11457556486129761, 0.030324386432766914, 0.1010877937078476, 0.46839454770088196, 0.2814183235168457, 2.0826332569122314, 0.015468385070562363, 0.1588602364063263, 0.3771056532859802, 0.18093304336071014, 1.5327786207199097, 0.08066597580909729, 1.0601009130477905, 0.008049717172980309, -0.19653917849063873, 0.14173844456672668, 0.3223056197166443, 1.5086383819580078, 0.08564139157533646, 0.32551711797714233, 0.05851079523563385, 2.5523931980133057, -0.30153512954711914, -0.012200981378555298, 0.04414111748337746, -0.07674194872379303, -0.26659756898880005, -0.09427674114704132, 1.8117035627365112]","[-2.267256021499634, -0.052369505167007446, -0.13937222957611084, -0.5411108732223511, -2.2188408374786377, -0.23273874819278717, -6.454257965087891, -0.09735575318336487, 0.21825151145458221, -0.1967899352312088, -0.26066821813583374, -2.9689998626708984, -0.3523312211036682, -3.55833101272583, 0.0322275385260582, -0.36620014905929565, 0.0348496213555336, -1.9579782485961914, -5.481876850128174, -0.1719767153263092, -0.4587728679180145, -0.4626421332359314, -4.8421950340271, -0.481900691986084, -0.11422816663980484, -0.36531350016593933, -0.22194206714630127, -0.5995690822601318, 0.290657639503479, -5.407290935516357]","[-0.10173138976097107, -0.2411244809627533, 1.6751031875610352, 0.47829222679138184, 0.17022576928138733, 1.1642651557922363, 2.022564172744751, -1.5221813917160034, -1.5337910652160645, -1.538642168045044, -1.810312032699585, 1.5236209630966187, 0.1824725717306137, 1.5090460777282715, 0.702470064163208, -0.7997033596038818, 0.6852222681045532, 0.4476117193698883, 1.4644830226898193, -0.386275976896286, -0.011454105377197266, 0.9184824228286743, 2.5844242572784424, -0.38289597630500793, 1.2064266204833984, 0.4786275327205658, -1.4346997737884521, -0.9152957201004028, -0.09436751157045364, 1.8727269172668457]"
"[0.8551779985427856, -0.14967821538448334, 0.021897705271840096, 0.07122723758220673, 0.32297787070274353, 0.24979183077812195, 1.8187670707702637, 0.0492144338786602, 0.19746997952461243, 0.35956883430480957, 0.18803231418132782, 1.9863548278808594, 0.08826394379138947, 0.9310413002967834, 0.011450117453932762, -0.14880064129829407, 0.13742610812187195, 0.46690285205841064, 1.7219088077545166, 0.07072243094444275, 0.30999457836151123, 0.08324702084064484, 2.2422778606414795, -0.3177429735660553, -0.025294750928878784, 0.0581468902528286, -0.023141907528042793, -0.2305138111114502, -0.04663125425577164, 1.5043575763702393]","[-2.0202832221984863, -0.032288819551467896, -0.16538038849830627, -0.5413033366203308, -2.283233642578125, -0.2553435266017914, -6.462703704833984, -0.15092512965202332, 0.2317124456167221, -0.15503579378128052, -0.29177719354629517, -2.912351131439209, -0.2985667586326599, -3.2520947456359863, 0.04736863821744919, -0.3930245041847229, 0.07185099273920059, -1.5922510623931885, -5.029865741729736, -0.1406787931919098, -0.45494285225868225, -0.45730626583099365, -4.369312763214111, -0.43650898337364197, -0.07630309462547302, -0.32380402088165283, -0.2633730173110962, -0.5611612200737, 0.2329261153936386, -5.1241135597229]","[1.1477880477905273, 0.29677581787109375, 0.30934378504753113, -0.31010013818740845, 0.07238766551017761, -0.8097701072692871, 1.7734296321868896, -0.7569972276687622, -1.2606234550476074, 0.7050760984420776, -1.0444340705871582, 1.9006012678146362, 0.2631288766860962, 0.8377852439880371, -0.3934597373008728, -0.03659682720899582, -1.3485348224639893, 0.6282440423965454, 1.7284164428710938, -0.808180570602417, -0.8547680377960205, 0.0494934618473053, 1.9962726831436157, -0.9666266441345215, -1.0158543586730957, -0.16527396440505981, 0.9824339747428894, -0.9129889011383057, 1.070224404335022, 1.5494157075881958]"
"[0.7447481751441956, -0.05874137952923775, -0.036880627274513245, 0.020125729963183403, 0.2336534708738327, 0.286542147397995, 0.8225115537643433, -0.008551377803087234, 0.054207660257816315, 0.33389708399772644, 0.1622282862663269, 1.767399549484253, 0.11657878756523132, -0.5988544225692749, 0.10420521348714828, -0.1913272887468338, 0.09326240420341492, 0.9645988345146179, 0.4946214556694031, 0.08478698879480362, 0.3579537272453308, 0.03275980055332184, -1.6576768159866333, -0.29862627387046814, 0.11981719732284546, 0.021526534110307693, -0.056981101632118225, -0.12056142091751099, 0.04878757894039154, 2.4622554779052734]","[-2.113415241241455, 0.01929047703742981, -0.0786786749958992, -0.5774815678596497, -1.5949233770370483, -0.22671672701835632, -5.972988128662109, -0.0010259449481964111, 0.18330566585063934, -0.19906021654605865, -0.22749322652816772, -2.8985486030578613, -0.24543368816375732, -2.7240781784057617, 0.05218344181776047, -0.5047171711921692, 0.15811902284622192, -1.8857471942901611, -4.053565502166748, -0.20834729075431824, -0.5440177917480469, -0.23374155163764954, -4.536057949066162, -0.4849641025066376, -0.18368619680404663, -0.4073469340801239, -0.31734657287597656, -0.4967927038669586, 0.2733548879623413, -4.678133487701416]","[0.04841911792755127, -0.5604082942008972, 0.2370232194662094, 1.1649837493896484, 0.5701463222503662, 0.8698159456253052, 0.8080947399139404, -2.4247610569000244, -0.2868427634239197, -0.011983603239059448, -0.5748176574707031, 1.4641841650009155, -0.4590742886066437, -0.4087151885032654, 1.3308674097061157, -0.0020866692066192627, -0.11019840836524963, 0.6835554838180542, 0.4010193645954132, -0.6797810792922974, 2.321221351623535, 1.862890601158142, -1.705679178237915, -0.48130300641059875, 0.29397153854370117, 0.35095635056495667, -0.4984673261642456, 0.3060247600078583, 1.7185442447662354, 2.5318381786346436]"
"[1.1093660593032837, -0.0472828634083271, 0.05627308785915375, 0.0031547080725431442, -0.3505527675151825, 0.2979101836681366, 1.084434986114502, -0.009412813931703568, -0.08856511861085892, 0.24403291940689087, 0.0628628134727478, 0.8788304924964905, 0.14224402606487274, -1.928025484085083, 0.0866217389702797, -0.14773939549922943, 0.052119478583335876, 0.11251047253608704, 0.3437061905860901, 0.07694850116968155, 0.2529706358909607, 0.045519813895225525, 0.5907356142997742, -0.25045108795166016, 0.035461604595184326, 0.013689551502466202, -0.09600834548473358, -0.1620902121067047, 0.056188687682151794, 2.7715792655944824]","[-2.250042200088501, 0.0002579987049102783, -0.07202143222093582, -0.588525116443634, -1.8220335245132446, -0.25976139307022095, -4.84473991394043, -0.06911960244178772, 0.15242116153240204, -0.27011486887931824, -0.1889188289642334, -2.758713722229004, -0.36715519428253174, -2.985168218612671, 0.037542350590229034, -0.4489717483520508, 0.0480707511305809, -1.7692484855651855, -3.970344305038452, -0.16565808653831482, -0.6091987490653992, -0.26973679661750793, -5.299699306488037, -0.46833959221839905, -0.2829054594039917, -0.3473367691040039, -0.16054004430770874, -0.6038052439689636, 0.2428717464208603, -4.548422336578369]","[1.3941950798034668, 0.25629177689552307, 0.07751332223415375, -0.0035612452775239944, -0.8877049684524536, -0.7801337242126465, 1.0690726041793823, 0.7126635313034058, 1.6858210563659668, -0.4096670150756836, 0.4819148778915405, 0.8689236640930176, 0.5472733974456787, -1.7086503505706787, -0.4609866440296173, -0.4617551565170288, 0.7581778764724731, -0.7767266035079956, 0.39277923107147217, -0.9115307927131653, 0.5838661193847656, -1.915979266166687, 0.7113945484161377, 1.7521450519561768, 0.47974681854248047, 0.5703352689743042, -0.8485448956489563, -1.2607249021530151, 1.3640505075454712, 2.8164772987365723]"
"[1.1389833688735962, -0.08526717126369476, 0.030595408752560616, 0.0354674756526947, -0.217694953083992, 0.3068305552005768, 1.1267344951629639, 0.01029498502612114, -0.016784079372882843, 0.2508079707622528, 0.12294133752584457, 0.9006125926971436, 0.10966388881206512, -2.0105528831481934, 0.08870512992143631, -0.1589309126138687, 0.05940501391887665, 0.7012665867805481, 0.1367596536874771, 0.0795510858297348, 0.3072623908519745, 0.07346989214420319, -0.41694390773773193, -0.26813384890556335, 0.05449962615966797, 0.006094563752412796, -0.10081116855144501, -0.20131151378154755, 0.06169681251049042, 2.6941609382629395]","[-2.377413749694824, 0.013762742280960083, -0.09670310467481613, -0.6315792798995972, -1.767281174659729, -0.2787264585494995, -5.655905723571777, -0.01609937846660614, 0.17496638000011444, -0.23481202125549316, -0.22944068908691406, -2.9385123252868652, -0.3884543180465698, -2.9659061431884766, 0.012305967509746552, -0.4966338872909546, 0.07828632742166519, -2.0021207332611084, -4.103995323181152, -0.16814777255058289, -0.6423143744468689, -0.2784694731235504, -5.414172172546387, -0.485612690448761, -0.28511008620262146, -0.39941468834877014, -0.2150317281484604, -0.5466985702514648, 0.23874832689762115, -4.852060794830322]","[1.2897770404815674, -1.1959116458892822, -0.48361748456954956, -0.08846613019704819, -0.2811582684516907, 0.017852485179901123, 1.1719204187393188, 0.2795046269893646, -0.7478297352790833, -0.48122528195381165, 0.2581832706928253, 0.9985848665237427, -0.45603930950164795, -1.6996281147003174, -0.5064383149147034, -0.5926704406738281, -0.2715073823928833, 0.5037897229194641, 0.3065117597579956, -0.07091519236564636, -0.34846922755241394, 0.17210416495800018, -0.5226622223854065, -1.8696116209030151, -0.13502925634384155, 0.564538836479187, 1.1262444257736206, 0.10755230486392975, 0.10651659965515137, 2.7969603538513184]"
"[-0.2132623791694641, -0.10088485479354858, 0.016750799492001534, 0.012372059747576714, 0.37658563256263733, 0.27353426814079285, 3.2733957767486572, -0.035087186843156815, 0.010811872780323029, 0.3708319664001465, 0.15253405272960663, 0.7701187133789062, 0.1226402074098587, -0.5792091488838196, 0.012408843263983727, -0.1428343504667282, 0.15852122008800507, -1.099542260169983, -1.083362340927124, 0.08248089998960495, 0.2880173921585083, 0.09052972495555878, 0.5627630949020386, -0.29206618666648865, 0.09198153018951416, 0.08633656799793243, -0.15197093784809113, -0.23366858065128326, -0.07607275247573853, 3.278261661529541]","[-2.5568761825561523, -0.0311708003282547, -0.1787182092666626, -0.45817333459854126, -1.4320660829544067, -0.22493720054626465, -5.989270210266113, -0.036410778760910034, 0.20186306536197662, -0.3563973307609558, -0.3427329659461975, -2.952683448791504, -0.4458487629890442, -3.7348246574401855, 0.07825111597776413, -0.5020495653152466, 0.06338337808847427, -2.277294397354126, -4.71877908706665, -0.17421400547027588, -0.6236408948898315, -0.3867873549461365, -6.273691177368164, -0.5818559527397156, -0.2542160749435425, -0.36098501086235046, -0.16923438012599945, -0.6275625228881836, 0.43466347455978394, -5.8379597663879395]","[-0.39001041650772095, 0.3663160800933838, -0.11773712933063507, 0.8768608570098877, 0.9251734018325806, 1.2904070615768433, 3.2407443523406982, 0.43435266613960266, 0.3684829771518707, -0.8555014133453369, 0.49617743492126465, 0.39117905497550964, -0.40930110216140747, -0.6452334523200989, -0.020072339102625847, -0.08244673907756805, 1.0649524927139282, -1.043369174003601, -1.197816014289856, 0.7643808126449585, -0.6576356887817383, 0.1350211203098297, 0.5527340173721313, -0.2636213004589081, -0.34555041790008545, 0.6284787058830261, -0.5620155334472656, -0.3805810809135437, 0.4185239374637604, 3.320648193359375]"
