"[0.9903656244277954, -0.16764648258686066, 0.0034177470952272415, 0.05642735958099365, -0.0012849150225520134, 0.3507830500602722, 1.3807305097579956, -0.07770995795726776, -0.095169298350811, 0.39372581243515015, 0.15490470826625824, 1.5891804695129395, 0.12946729362010956, -1.4689738750457764, 0.05121844261884689, -0.20327992737293243, 0.00565396249294281, 0.9089111685752869, 0.6579238772392273, 0.10051653534173965, 0.3743407726287842, 0.07621662318706512, 0.22841693460941315, -0.30538010597229004, 0.05782979726791382, -0.022669117897748947, -0.0636730045080185, -0.14782939851284027, 0.025696560740470886, 3.9990286827087402]","[-2.5793724060058594, 0.05194149911403656, -0.06121862679719925, -0.7081186771392822, -1.7367762327194214, -0.33521151542663574, -6.321244239807129, 0.10394212603569031, 0.3594883680343628, -0.3252165615558624, -0.2141323685646057, -2.8503787517547607, -0.35133635997772217, -3.123516798019409, 0.15838178992271423, -0.43571406602859497, 0.11427827924489975, -1.8237879276275635, -4.561311721801758, -0.21007174253463745, -0.6637951135635376, -0.3596521317958832, -5.7304840087890625, -0.5554529428482056, -0.31157439947128296, -0.35949623584747314, -0.2445375770330429, -0.7741881608963013, 0.3867712616920471, -5.606136798858643]","[0.34761303663253784, -0.3764722943305969, 0.8635199666023254, 0.03740629926323891, -0.3803181052207947, -0.19032877683639526, 1.4518243074417114, 0.560318648815155, 1.3513553142547607, 0.4200555384159088, -0.1785137802362442, 1.6778640747070312, -1.1382415294647217, -1.2433894872665405, -0.2784538269042969, 0.9819748997688293, -0.3138759136199951, 0.7526944875717163, 0.6270853281021118, 0.35316967964172363, 0.992895781993866, -1.0057340860366821, 0.2580987811088562, -0.6321460008621216, 1.5945961475372314, -0.4351571798324585, -0.6086724400520325, 0.21820895373821259, 1.6277527809143066, 4.041072368621826]"
"[0.19589215517044067, -0.25755956768989563, -0.012327862903475761, 0.005423111841082573, 0.5368615984916687, 0.3188537359237671, 3.9938058853149414, -0.09554199874401093, -0.06913714855909348, 0.5369938015937805, 0.22624948620796204, 1.054006576538086, 0.15469376742839813, -0.691776692867279, -0.00351090170443058, -0.170986607670784, 0.1040893942117691, -1.043753743171692, -1.0115644931793213, 0.1302756667137146, 0.4154236614704132, 0.1312112957239151, 0.6471261382102966, -0.3564177453517914, 0.10101157426834106, 0.06804847717285156, -0.14446289837360382, -0.21960990130901337, -0.07836933434009552, 4.984582424163818]","[-3.0515944957733154, 0.050070226192474365, -0.20605337619781494, -0.6031883358955383, -1.367828369140625, -0.32476869225502014, -7.425930023193359, 0.1358838975429535, 0.43483972549438477, -0.4822089970111847, -0.3513258993625641, -3.2383229732513428, -0.4867158532142639, -4.262797832489014, 0.20087337493896484, -0.5485002994537354, 0.13636210560798645, -2.4327170848846436, -5.518643379211426, -0.20611843466758728, -0.7720445394515991, -0.47180303931236267, -7.462592124938965, -0.6691365242004395, -0.3610740602016449, -0.4082556962966919, -0.22958390414714813, -0.8629436492919922, 0.6112844347953796, -7.373234272003174]","[0.10371927171945572, 0.905129075050354, -0.8891942501068115, -0.4621144235134125, 1.2837517261505127, 1.0379602909088135, 3.975653648376465, 0.8406129479408264, -0.5877127051353455, -0.5730071663856506, -0.24588105082511902, 1.2063260078430176, 1.7007365226745605, -0.819587230682373, -1.721685528755188, -1.1703346967697144, -0.4519999027252197, -0.5949034690856934, -0.9958432912826538, 0.00881727784872055, -0.11167445778846741, 0.06287620961666107, 0.6463420391082764, 0.2110462486743927, 1.5041589736938477, 0.15509940683841705, 0.5217373967170715, 0.5723255276679993, -0.5217887163162231, 4.99759578704834]"
"[0.8155351877212524, -0.2953401803970337, -0.09863083064556122, -0.06039340794086456, 0.7759090065956116, 0.31672024726867676, 4.128203392028809, -0.08805392682552338, 0.0068552568554878235, 0.5516881942749023, 0.30349186062812805, 1.9983859062194824, 0.15918473899364471, 0.3990802466869354, -0.03262128680944443, -0.08509178459644318, 0.14482025802135468, 1.2143826484680176, 0.4809478521347046, 0.14022529125213623, 0.579521656036377, 0.12135951220989227, 2.178785562515259, -0.34403955936431885, -0.062234848737716675, -0.07215555012226105, -0.14439330995082855, -0.31016552448272705, -0.07634301483631134, 3.3660731315612793]","[-2.6502771377563477, -0.055995047092437744, -0.25014764070510864, -0.5670076608657837, -1.7213152647018433, -0.34675154089927673, -7.398765563964844, -0.034055471420288086, 0.45093512535095215, -0.4530045986175537, -0.2994893491268158, -3.269089698791504, -0.4715462327003479, -4.561367034912109, 0.061583004891872406, -0.3233281970024109, 0.042536891996860504, -1.80765962600708, -6.507448673248291, -0.2475796341896057, -0.6650285124778748, -0.4508495628833771, -6.413360595703125, -0.6537604928016663, -0.1472196877002716, -0.34571394324302673, -0.22062548995018005, -0.9122405052185059, 0.6185557842254639, -7.3549113273620605]","[1.217503309249878, -0.32172292470932007, -1.183258295059204, 0.13893425464630127, 0.6856518387794495, 0.8483271598815918, 4.12443733215332, 1.126962423324585, -0.8291699886322021, -0.23666167259216309, -0.22819820046424866, 1.910666823387146, 0.6516169309616089, 0.3661826252937317, -0.03654439374804497, -1.718077540397644, 1.064941167831421, 1.1318988800048828, 0.44233229756355286, -0.2140672206878662, 2.1592423915863037, 0.4947797656059265, 2.156583786010742, -0.21518461406230927, -0.000987756997346878, 0.7157304286956787, -0.6254295706748962, -0.659137487411499, -0.769500732421875, 3.363723039627075]"
"[1.6846667528152466, -0.2511276602745056, 0.06029503047466278, 0.08432666957378387, 0.3098008334636688, 0.31648364663124084, 3.553774833679199, -0.044320542365312576, -0.10762982815504074, 0.3699744641780853, 0.19168689846992493, 0.19861705601215363, 0.1565992683172226, -1.5148983001708984, -0.011808076873421669, -0.1372668296098709, -0.007938697934150696, -0.6268961429595947, -0.29830753803253174, 0.14421328902244568, 0.3371628522872925, 0.17989350855350494, -0.36082160472869873, -0.2887355387210846, 0.08841854333877563, 0.04848163202404976, -0.04467414319515228, -0.1921362429857254, 0.007231578230857849, 4.213378429412842]","[-2.6971683502197266, 0.043217241764068604, -0.006448931992053986, -0.5915368795394897, -1.1339763402938843, -0.2906166911125183, -7.221090316772461, 0.14228084683418274, 0.4192359447479248, -0.3852323889732361, -0.18227353692054749, -2.8815553188323975, -0.30283334851264954, -3.8420071601867676, 0.2892865836620331, -0.6062690019607544, 0.2209794819355011, -2.0947160720825195, -4.826716899871826, -0.2850290536880493, -0.6667206883430481, -0.47366219758987427, -6.592782974243164, -0.4491054117679596, -0.39546021819114685, -0.44041669368743896, -0.18134509027004242, -0.8308662176132202, 0.5749468207359314, -6.68364953994751]","[1.5846235752105713, -0.11624863743782043, 1.5874491930007935, 0.2300141453742981, 0.5294718742370605, 0.26771003007888794, 3.5595343112945557, 0.41909003257751465, -0.1842750608921051, 1.6168937683105469, 0.7763742208480835, 0.39719927310943604, -0.23479093611240387, -1.3123382329940796, 0.14832939207553864, 0.22729156911373138, 0.33236682415008545, -0.459857314825058, -0.26388224959373474, -0.6337453126907349, 0.7286961674690247, -0.6900050044059753, -0.33783701062202454, -0.3263096213340759, 0.22272595763206482, 0.8818427324295044, 0.37984758615493774, 1.644155502319336, 1.568791389465332, 4.273815155029297]"
"[1.6225775480270386, -0.21446748077869415, 0.03392000496387482, 0.027100933715701103, 0.47926393151283264, 0.30084577202796936, -1.674065113067627, 0.06680309772491455, 0.06792140752077103, 0.5428226590156555, 0.27085015177726746, 2.3932037353515625, 0.11657728254795074, 0.8669541478157043, 0.10111360996961594, -0.22483183443546295, 0.06170216202735901, 0.08656299114227295, 2.2656376361846924, 0.10398394614458084, 0.524345874786377, 0.0440623015165329, 0.09864282608032227, -0.4552316963672638, 0.02963799238204956, 0.07745100557804108, 0.00845111720263958, -0.16707609593868256, -0.05603824555873871, 4.499532699584961]","[-3.2285804748535156, 0.14718803763389587, -0.1325417459011078, -0.705483615398407, -2.432967185974121, -0.3484845459461212, -7.155572891235352, 0.12248507142066956, 0.31041038036346436, -0.007769007235765457, -0.2715650200843811, -3.9521749019622803, -0.35491645336151123, -3.7093260288238525, 0.15220588445663452, -0.5118311047554016, 0.23959991335868835, -2.41011643409729, -5.942811489105225, -0.24651023745536804, -0.6624335646629333, -0.4613643288612366, -6.608592510223389, -0.6151617169380188, -0.2722988426685333, -0.4663018584251404, -0.30004647374153137, -0.6861861944198608, 0.16986294090747833, -7.173959732055664]","[2.164912223815918, 0.7833400368690491, -0.2773534059524536, -0.159054234623909, 0.5746026635169983, 1.0182157754898071, -1.6712439060211182, 2.032876968383789, -1.0120899677276611, 1.982053279876709, -0.20691409707069397, 2.44974422454834, 0.32598385214805603, 0.6173374652862549, 0.5291975140571594, -1.1384307146072388, 0.6314823627471924, 0.19127440452575684, 2.2604832649230957, 0.017604418098926544, -0.061365604400634766, -0.22531412541866302, 0.052808910608291626, -0.22305122017860413, 1.0911931991577148, -0.16778019070625305, -0.026534637436270714, 0.2826462388038635, -0.6893917322158813, 4.4953107833862305]"
"[1.4770145416259766, -0.1953209489583969, 0.006275074556469917, 0.0519232302904129, -0.0001919446513056755, 0.38007038831710815, 1.4378465414047241, -0.0694439560174942, -0.11389415711164474, 0.3741467595100403, 0.18395982682704926, 1.2392449378967285, 0.11724300682544708, -1.9001728296279907, 0.07369891554117203, -0.208724245429039, -0.012148216366767883, 0.9845449924468994, 0.5266371965408325, 0.12103281170129776, 0.38781946897506714, 0.11105285584926605, -0.6889240741729736, -0.3348970115184784, 0.07490020990371704, -0.04386172816157341, -0.05585317313671112, -0.16670532524585724, 0.083879753947258, 4.2232255935668945]","[-2.752380609512329, 0.0845528244972229, -0.05144817382097244, -0.7832612991333008, -1.7031636238098145, -0.3464939296245575, -7.048990249633789, 0.13806739449501038, 0.400909960269928, -0.3473019301891327, -0.20503339171409607, -3.0293688774108887, -0.32794731855392456, -3.2426767349243164, 0.1803501844406128, -0.5270616412162781, 0.16619873046875, -2.082465171813965, -4.652061939239502, -0.2248176634311676, -0.7227250337600708, -0.37873363494873047, -6.063023567199707, -0.551811933517456, -0.3420428931713104, -0.4201821982860565, -0.2633753716945648, -0.8017191886901855, 0.41643333435058594, -5.937455177307129]","[1.0875937938690186, -1.0873451232910156, 0.788451611995697, 0.08002769201993942, 0.044088318943977356, -0.6768035292625427, 1.3890713453292847, 0.4763127565383911, -0.0755867063999176, 0.7848389148712158, 0.7040584683418274, 1.3914107084274292, -0.3135095238685608, -2.2332329750061035, -0.011350102722644806, -0.18672659993171692, -1.4154589176177979, 1.3346450328826904, 0.6358044147491455, -0.5788624882698059, -1.2862403392791748, 0.8368947505950928, -0.7486411929130554, -0.18854199349880219, 0.04057244956493378, 0.8463975787162781, 1.3788740634918213, -0.13196660578250885, 2.383629322052002, 4.247677326202393]"
"[0.006818537600338459, -0.23303218185901642, 0.10747350752353668, 0.1858092099428177, 0.40094903111457825, 0.37870660424232483, 0.9906191825866699, 0.08209119737148285, 0.15123426914215088, 0.45908671617507935, 0.09655819833278656, 0.7676173448562622, 0.09466232359409332, 0.8463395237922668, 0.04467190057039261, -0.3291724920272827, 0.1212228387594223, 0.07490481436252594, 2.8921332359313965, 0.10911212116479874, 0.3640117049217224, 0.07028381526470184, 3.0977230072021484, -0.5369263291358948, -0.0026805996894836426, 0.1279515027999878, -0.08262865245342255, -0.36529189348220825, -0.07634134590625763, 3.645439624786377]","[-3.203824520111084, 0.0481734424829483, -0.13470739126205444, -0.751079797744751, -2.5567827224731445, -0.3387666642665863, -8.837531089782715, 0.08530330657958984, 0.30176228284835815, -0.11034058034420013, -0.2989746034145355, -3.351754665374756, -0.5315640568733215, -3.60369873046875, 0.18663108348846436, -0.45168912410736084, 0.09240274876356125, -2.7482047080993652, -5.933047771453857, -0.20510029792785645, -0.6298443078994751, -0.5774405598640442, -6.096205711364746, -0.5495742559432983, -0.19664952158927917, -0.4041362404823303, -0.21705560386180878, -0.7581300139427185, 0.27953094244003296, -6.897792816162109]","[0.2646455764770508, 0.08784176409244537, -0.1281849890947342, 1.1868430376052856, 0.38733938336372375, 0.3724694848060608, 0.9942074418067932, 0.23580171167850494, -2.3104515075683594, -1.7215580940246582, 0.6861766576766968, 0.7413104176521301, -0.2697075605392456, 0.5081394910812378, -0.26467370986938477, -1.8822332620620728, -0.5916517972946167, -0.17074482142925262, 2.934903621673584, -0.5333408117294312, 0.9960967898368835, 0.20779292285442352, 3.0792999267578125, -1.3418281078338623, 1.339240550994873, 0.1968163549900055, -0.9816263914108276, -0.028208553791046143, 1.0196536779403687, 3.5908384323120117]"
"[2.074810743331909, -0.17178358137607574, 0.024746404960751534, -0.06260069459676743, 0.03783039376139641, 0.3518390357494354, 1.6759397983551025, 0.03087778016924858, -0.1423528492450714, 0.27126777172088623, 0.1782684177160263, 0.30497950315475464, 0.15055100619792938, -1.2772681713104248, 0.17860737442970276, -0.16119898855686188, -0.012880340218544006, 0.3591604232788086, 1.5464832782745361, 0.08561680465936661, 0.23697905242443085, 0.11469070613384247, -0.9739860892295837, -0.3007633090019226, 0.07294082641601562, -0.019045662134885788, 0.013556642457842827, -0.1350887268781662, 0.133858785033226, 3.4322333335876465]","[-2.345771312713623, 0.09964340925216675, 0.04643862694501877, -0.6689128875732422, -1.5656934976577759, -0.28866130113601685, -6.70908260345459, 0.07977280020713806, 0.27317988872528076, -0.30279844999313354, -0.11003386229276657, -2.665069341659546, -0.23575492203235626, -3.1575329303741455, 0.15467870235443115, -0.6132807731628418, 0.18756422400474548, -1.933297872543335, -4.30453634262085, -0.25984376668930054, -0.6462598443031311, -0.3418426513671875, -4.951330184936523, -0.3790443241596222, -0.2556368112564087, -0.47365617752075195, -0.22591520845890045, -0.7492214441299438, 0.33264172077178955, -5.145414352416992]","[2.020231008529663, -0.5935074687004089, 0.07775301486253738, -0.4450816214084625, -0.2779279947280884, -1.1913816928863525, 1.7040759325027466, 1.172042965888977, 1.7912743091583252, 2.707505226135254, 1.6035369634628296, 0.15598683059215546, 0.6040342450141907, -1.3917102813720703, -1.3136764764785767, 0.17136625945568085, -0.1793074905872345, -0.1199716329574585, 1.4279558658599854, 0.27138638496398926, 0.8346747159957886, 0.6774665117263794, -0.9750625491142273, 0.1464259922504425, 1.0458498001098633, -0.24018168449401855, 0.5027502179145813, 0.0126105397939682, -0.5950480699539185, 3.3971664905548096]"
"[-0.002242649905383587, -0.179122194647789, 0.07396672666072845, -0.01456456072628498, 0.37585213780403137, 0.38646581768989563, 3.8051908016204834, -0.03055461123585701, -0.06444265693426132, 0.4908640682697296, 0.1482483148574829, 0.2551841735839844, 0.1777714341878891, -1.162245512008667, 0.045501746237277985, -0.1656532883644104, 0.16829122602939606, -1.4082082509994507, -0.914749801158905, 0.11529863625764847, 0.3760468065738678, 0.09953491389751434, 0.9853892922401428, -0.41354700922966003, 0.0870051383972168, 0.06028032675385475, -0.2082950323820114, -0.31472039222717285, -0.06955738365650177, 4.983702659606934]","[-3.356813430786133, 0.06253166496753693, -0.17974695563316345, -0.6374879479408264, -1.6432790756225586, -0.3238571882247925, -7.696844100952148, 0.09463220834732056, 0.3470660448074341, -0.4379849433898926, -0.3325597047805786, -3.4517757892608643, -0.5383713841438293, -4.651827812194824, 0.13655996322631836, -0.634515106678009, 0.11937312036752701, -2.9327704906463623, -5.908529758453369, -0.20078414678573608, -0.8355270028114319, -0.4860549569129944, -8.12539291381836, -0.7163625359535217, -0.3710513114929199, -0.46577131748199463, -0.16359592974185944, -0.9027034044265747, 0.569640040397644, -7.433602809906006]","[-0.12209183722734451, -0.3186878561973572, -0.3652370572090149, -0.21238239109516144, 1.4084031581878662, 0.4579448103904724, 3.7991926670074463, 1.2559077739715576, 1.6147990226745605, -0.41729721426963806, 0.3901696801185608, 0.09672486782073975, 0.6755735874176025, -1.1286194324493408, 0.9071327447891235, 0.9837962985038757, 0.0089949369430542, -0.6517527103424072, -0.8683267831802368, 1.0043777227401733, -0.25093552470207214, 2.049089193344116, 0.9714152216911316, 0.437270849943161, -0.050582289695739746, -1.3345977067947388, -0.8407742381095886, -0.8587877154350281, -1.433250904083252, 4.986679553985596]"
"[0.19832801818847656, -0.09046490490436554, 0.02101658470928669, -0.10781778395175934, 0.1861732453107834, 0.40420812368392944, 1.9013391733169556, 0.06771765649318695, -0.06372296065092087, 0.30038875341415405, 0.10280000418424606, -1.2943687438964844, 0.20097105205059052, -0.8974913954734802, 0.16480028629302979, -0.2858405113220215, 0.05050598084926605, -0.6337892413139343, 1.7150284051895142, 0.10930972546339035, 0.27137818932533264, 0.05567745864391327, -1.234523892402649, -0.34298163652420044, 0.17820113897323608, 0.05635066702961922, -0.05608014762401581, -0.2024981826543808, 0.06343783438205719, 3.6734423637390137]","[-2.596940279006958, 0.02189481258392334, 0.026664815843105316, -0.6039606928825378, -1.2775375843048096, -0.2525072395801544, -7.042230606079102, 0.13573601841926575, 0.19557501375675201, -0.33413803577423096, -0.09982975572347641, -2.545206069946289, -0.33416053652763367, -3.451335906982422, 0.1148873046040535, -0.6665397882461548, 0.18765521049499512, -2.7582507133483887, -4.683627128601074, -0.30235055088996887, -0.7005677223205566, -0.3553772568702698, -5.230945110321045, -0.4271015226840973, -0.23511779308319092, -0.5023682117462158, -0.23644830286502838, -0.7173599004745483, 0.372829794883728, -5.289774417877197]","[0.40534648299217224, -0.27220696210861206, 1.544898509979248, -0.0012378692626953125, 0.17750978469848633, -0.5535164475440979, 1.874002456665039, -1.3590376377105713, -0.8509361743927002, -0.04175761342048645, 0.13319745659828186, -1.4350802898406982, 0.22339674830436707, -0.893981397151947, -0.9204022884368896, -1.46811044216156, 1.6971017122268677, 0.05019718408584595, 1.5769699811935425, -1.0619213581085205, 0.999092698097229, 2.041048288345337, -1.1821075677871704, -1.8607323169708252, 0.8397678136825562, -0.5093010067939758, 0.07225994765758514, 0.30369043350219727, -1.3932424783706665, 3.792910099029541]"
